step,total_loss_mean,training_success_rate,action_saturation_ratio,hidden_dynamics_separation_ratio,rdac_actor_head_grad_norm_before_clip,rdac_actor_head_grad_norm_after_clip
17400,0.141044,0.5,0,0.316935,1.84555,1.84555
17500,0.112097,1,0,0.399335,1.13341,1.13341
17600,0.0467184,0.75,0,0.325936,0.108986,0.108986
17700,0.101786,1,0,0.834917,1.39249,1.39249
17800,0.0559897,1,0,0.24093,0.508521,0.508521
17900,0.1143,1,0,0.532599,3.34771,3.34771
18000,0.0452532,1,0,0.223826,0.429584,0.429584
18100,0.07796,0.75,0,0.876518,1.44023,1.44023
18200,0.113402,0.75,0,0.288003,1.38624,1.38624
18300,0.115085,1,0,0.641042,2.65529,2.65529
18400,0.0644381,1,0,0.229886,0.479878,0.479878
18500,0.0371953,1,0,0.130432,0.148102,0.148102
18600,0.113035,0.75,0,0.546846,0.961798,0.961798
18700,0.0644008,1,0,0.268098,0.817602,0.817602
18800,0.0730052,1,0,0.639302,0.50288,0.50288
18900,0.0512109,0.75,0,0.214222,0.292615,0.292615
19000,0.138816,1,0,0.583439,3.32789,3.32789
19100,0.145076,0.5,0,0.137128,1.31703,1.31703
19200,0.0352067,1,0,0.0635604,0.108836,0.108836
19300,0.0767652,1,0,0.380745,1.37142,1.37142
19400,0.0483613,1,0,0.384123,0.377227,0.377227
19500,0.154001,1,0,0.458603,3.22107,3.22107
19600,0.0397567,0.75,0,0.186869,0.300443,0.300443
19700,0.0757511,1,0,0.356969,1.94779,1.94779
19800,0.0819904,0.75,0,0.121408,0.238143,0.238143
19900,0.17544,1,0,0.389682,4.19043,4.19043
19999,0.0858961,0.25,0,0.113725,0.342132,0.342132
