step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
52,64,0.00672845,0.00196367,0.0476478,0.1,0.00476478,-0.00601282,-2.85716e-12,-0.00601282,547.516,0.179343,0.999674,0,0.183248,0.118945,0.0589567,true
53,64,0.00718238,0.00206898,0.051134,0.1,0.0051134,-0.00762073,-1.07438e-11,-0.00762073,567.192,0.190324,0.999308,0,0.183535,0.126008,0.0591113,true
54,64,0.00670333,0.00212031,0.0458303,0.1,0.00458303,-0.0124882,-4.96732e-13,-0.0124882,536.972,0.183058,0.99825,0,0.183295,0.128014,0.0611866,true
55,64,0.00658304,0.00202432,0.0455872,0.1,0.00455872,-0.0123515,1.03916e-11,-0.0123515,535.546,0.19904,0.999634,0,0.183049,0.123554,0.0608384,true
56,64,0.00626083,0.0018481,0.0441273,0.1,0.00441273,-0.0117287,1.51084e-11,-0.0117287,526.901,0.199918,0.999858,0,0.182536,0.1118,0.0583468,true
57,64,0.00698699,0.00190259,0.0508441,0.1,0.00508441,-0.0109394,2.61234e-11,-0.0109394,565.582,0.220491,0.999919,0,0.183551,0.115264,0.0577844,true
58,64,0.00639813,0.00197376,0.0442438,0.1,0.00442438,-0.00948422,1.25713e-11,-0.00948422,527.596,0.179541,0.998494,0,0.183258,0.116979,0.0608611,true
59,64,0.00686781,0.00195521,0.0491261,0.1,0.00491261,-0.00943758,4.11238e-12,-0.00943758,555.945,0.152705,0.999756,0,0.184134,0.116254,0.0609378,true
60,64,0.00657714,0.00170981,0.0486733,0.1,0.00486733,-0.00210696,-1.89529e-11,-0.00210696,553.377,0.169021,0.999898,0,0.184238,0.0971455,0.0579583,true
61,64,0.00789988,0.00175804,0.0614184,0.1,0.00614184,-0.00550299,-9.32795e-12,-0.00550299,621.62,0.251135,0.999898,1.27157e-06,0.186818,0.100943,0.0561859,true
62,64,0.00719493,0.00201522,0.0517971,0.1,0.00517971,-0.00333008,-3.51065e-11,-0.00333008,570.858,0.240183,0.998922,0,0.186912,0.116711,0.0634813,true
63,64,0.00841814,0.00215177,0.0626637,0.1,0.00626637,-0.00369232,2.11887e-11,-0.00369232,627.89,0.207001,0.999736,0,0.188476,0.126166,0.0655545,true
64,64,0.0081508,0.00185243,0.0629838,0.1,0.00629837,-0.00354759,9.09299e-12,-0.00354759,629.491,0.253767,0.999959,0,0.189981,0.104085,0.0623084,true
65,64,0.01017,0.00190064,0.0826933,0.1,0.00826933,-0.0045865,5.87489e-12,-0.0045865,721.291,0.321228,1,1.50998e-06,0.192772,0.106527,0.0599105,true
66,64,0.0089874,0.00227794,0.0670946,0.1,0.00670946,0.00952128,2.17298e-11,0.00952128,649.71,0.290532,0.99825,0,0.19162,0.13133,0.0700146,true
67,64,0.0105395,0.00245256,0.080869,0.1,0.0080869,0.0119009,2.30749e-12,0.0119009,713.291,0.244274,0.999552,0,0.193267,0.141981,0.0721608,true
68,64,0.00981747,0.00199915,0.0781832,0.1,0.00781832,0.010659,1.39513e-11,0.010659,701.346,0.25773,0.999959,0,0.194127,0.112171,0.0669877,true
69,64,0.0118994,0.00202144,0.0987801,0.1,0.00987801,0.00595006,-6.07401e-12,0.00595006,788.334,0.293665,0.99998,3.97364e-06,0.196987,0.111684,0.0626582,true
70,64,0.00951649,0.0023589,0.0715759,0.1,0.00715759,0.0266947,-2.06656e-11,0.0266947,671.056,0.282293,0.99823,0,0.194084,0.134417,0.0720502,true
71,64,0.0111191,0.00249045,0.0862862,0.1,0.00862862,0.0294359,-6.22306e-12,0.0294359,736.794,0.257314,0.999674,0,0.194702,0.142419,0.0727607,true
72,64,0.00995458,0.00192989,0.0802469,0.1,0.00802469,0.0254159,-1.66394e-11,0.0254159,710.542,0.22071,1,0,0.194987,0.104327,0.0659439,true
73,64,0.0122409,0.00201256,0.102284,0.1,0.0102284,0.00961094,1.92091e-12,0.00961094,802.193,0.220954,0.99998,5.32468e-06,0.198582,0.109194,0.0603982,true
74,64,0.00881545,0.00229174,0.0652371,0.1,0.00652371,0.0376763,-9.34212e-12,0.0376763,640.653,0.284765,0.998861,0,0.193486,0.131038,0.0685209,true
75,64,0.0104316,0.00239453,0.0803711,0.1,0.00803711,0.0332094,8.58887e-12,0.0332094,711.092,0.26019,0.999797,0,0.193907,0.137191,0.0682968,true
76,64,0.00956865,0.00183594,0.0773271,0.1,0.00773271,0.0237581,-8.30388e-12,0.0237581,697.496,0.182395,1,0,0.194058,0.0969809,0.0619847,true
77,64,0.0122239,0.00206847,0.101554,0.1,0.0101554,0.00209641,8.91483e-12,0.00209641,799.326,0.155928,1,5.00679e-06,0.197459,0.112926,0.0567514,true
78,64,0.00812057,0.00231393,0.0580663,0.1,0.00580663,0.015579,4.29738e-12,0.015579,604.419,0.148316,0.99939,0,0.193399,0.133069,0.0646135,true
79,64,0.00983428,0.00235274,0.0748154,0.1,0.00748154,0.0114316,9.05761e-12,0.0114316,686.074,0.170832,0.999858,0,0.193799,0.136358,0.0644384,true
80,64,0.00953386,0.00182341,0.0771045,0.1,0.00771045,0.00617815,1.58439e-11,0.00617815,696.491,0.124622,0.99998,0,0.193124,0.0977376,0.0591364,true
81,64,0.0127461,0.00217895,0.105671,0.1,0.0105671,-0.0309143,-3.42707e-12,-0.0309143,815.368,0.295529,0.999898,7.07308e-06,0.198752,0.117451,0.0552847,true
82,64,0.00809064,0.00235824,0.057324,0.1,0.0057324,-0.0127403,-7.04966e-12,-0.0127403,600.542,0.129483,0.999593,0,0.194763,0.135161,0.0625298,true
83,64,0.00996005,0.00238833,0.0757172,0.1,0.00757172,-0.00681546,1.18955e-11,-0.00681546,690.197,0.135307,0.999898,0,0.194702,0.137899,0.0627522,true
84,64,0.009939,0.00183937,0.0809963,0.1,0.00809963,-0.0156068,1.25934e-12,-0.0156068,713.852,0.184797,1,0,0.194947,0.0970242,0.0578313,true
85,64,0.013165,0.00220085,0.109642,0.1,0.0109642,-0.0479279,1.62957e-11,-0.0479279,830.546,0.412241,0.999736,5.64257e-06,0.200966,0.116586,0.054978,true
86,64,0.00825447,0.00236192,0.0589254,0.1,0.00589254,-0.0130857,-3.57317e-11,-0.0130857,608.873,0.123261,0.999837,0,0.196023,0.133981,0.0613802,true
87,64,0.0102508,0.0024292,0.0782158,0.1,0.00782158,-0.00252671,-1.93897e-11,-0.00252671,701.492,0.122954,0.999674,0,0.196914,0.136881,0.0625075,true
88,64,0.010166,0.00184219,0.0832383,0.1,0.00832383,-0.00321705,1.13778e-11,-0.00321705,723.664,0.104384,1,0,0.196914,0.0948899,0.0575167,true
89,64,0.0134013,0.0021788,0.112225,0.1,0.0112225,-0.0415371,-3.74691e-12,-0.0415371,840.274,0.315023,0.999919,1.34309e-05,0.203864,0.112839,0.054863,true
90,64,0.00844592,0.00236169,0.0608423,0.1,0.00608423,0.00549185,-1.41965e-11,0.00549185,618.698,0.120593,0.999837,0,0.198235,0.131723,0.0611307,true
91,64,0.0106993,0.00249955,0.0819976,0.1,0.00819976,0.0181175,-3.70832e-11,0.0181175,718.251,0.252379,0.999207,0,0.198826,0.137437,0.062815,true
92,64,0.0103861,0.00188256,0.0850356,0.1,0.00850356,0.0115543,1.2796e-11,0.0115543,731.435,0.150314,1,1.11262e-06,0.199415,0.0954994,0.0579273,true
93,64,0.0130969,0.00215891,0.10938,0.1,0.010938,-0.0276444,9.75127e-12,-0.0276444,829.553,0.212625,1,3.09944e-06,0.20557,0.109934,0.0554229,true
94,64,0.00859928,0.00238548,0.062138,0.1,0.0062138,0.0151393,-1.01792e-11,0.0151393,625.251,0.195995,0.999939,0,0.199801,0.13107,0.0616572,true
95,64,0.0108796,0.00256046,0.0831912,0.1,0.00831912,0.0197161,4.85878e-12,0.0197161,723.46,0.279663,0.99884,0,0.200306,0.138705,0.0634314,true
96,64,0.0102258,0.00190903,0.0831672,0.1,0.00831672,0.0102114,-4.63757e-12,0.0102114,723.355,0.148549,1,0,0.200471,0.0963561,0.0585619,true
97,64,0.0127395,0.00214875,0.105908,0.1,0.0105908,-0.0292366,-4.11874e-12,-0.0292366,816.28,0.237487,0.99998,1.49409e-05,0.205723,0.108417,0.0568352,true
98,64,0.00834571,0.00238304,0.0596268,0.1,0.00596268,0.00554032,1.03902e-11,0.00554032,612.486,0.113323,0.999858,0,0.200222,0.130139,0.0621364,true
99,64,0.010384,0.00251277,0.0787119,0.1,0.00787119,0.0170962,1.7481e-12,0.0170962,703.713,0.25115,0.999247,0,0.199639,0.137057,0.0629591,true
100,64,0.0098662,0.00188,0.079862,0.1,0.0079862,0.00526251,-2.61539e-11,0.00526251,708.836,0.0847984,1,0,0.199586,0.0947638,0.0583606,true
