teacher_count,condition,train_seed,eval_domain,eval_seed,success_rate,mean_final_position_norm,mean_final_velocity_norm,mean_final_angular_velocity_norm,invalid_or_nan_rate,mean_action_norm,skipped_updates,training_nan_inf,checkpoint
8,diff_init,2,fixed,10002,0,4.10612,5.66846,1.59314,0,0.376246,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_2/checkpoint.h5
8,diff_init,2,narrow,10000,0,3.89145,5.29842,1.55771,0,0.371541,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_2/checkpoint.h5
8,diff_init,2,narrow,10001,0,3.93805,5.38554,1.66731,0,0.370156,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_2/checkpoint.h5
8,diff_init,2,narrow,10002,0,3.92288,5.34944,1.74732,0,0.373509,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_2/checkpoint.h5
8,diff_init,2,medium,10000,0,3.60069,4.8111,1.5551,0,0.359285,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_2/checkpoint.h5
8,diff_init,2,medium,10001,0,3.70093,4.97827,1.69551,0,0.360322,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_2/checkpoint.h5
8,diff_init,2,medium,10002,0,3.55168,4.84521,1.63939,0,0.354041,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_2/checkpoint.h5
16,scratch,0,fixed,10000,0,7.6757,12.5389,8.10788,0,0.0617134,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_0/checkpoint.h5
16,scratch,0,fixed,10001,0,7.37272,12.141,7.87019,0,0.0596033,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_0/checkpoint.h5
16,scratch,0,fixed,10002,0,7.47031,12.2448,8.02748,0,0.0568897,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_0/checkpoint.h5
16,scratch,0,narrow,10000,0,7.47318,12.2254,7.43589,0,0.0577669,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_0/checkpoint.h5
16,scratch,0,narrow,10001,0,7.45838,12.2697,8.17264,0,0.0593625,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_0/checkpoint.h5
16,scratch,0,narrow,10002,0,7.62047,12.5243,7.57833,0,0.060893,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_0/checkpoint.h5
16,scratch,0,medium,10000,0,7.40474,12.2036,7.503,0,0.0585467,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_0/checkpoint.h5
16,scratch,0,medium,10001,0,7.40048,12.2265,8.65861,0,0.0616705,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_0/checkpoint.h5
16,scratch,0,medium,10002,0,7.26052,12.0393,7.64935,0,0.0597163,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_0/checkpoint.h5
16,diff_init,0,fixed,10000,0,4.23829,5.8106,1.59176,0,0.37733,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_0/checkpoint.h5
16,diff_init,0,fixed,10001,0,4.14163,5.72421,1.52251,0,0.37101,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_0/checkpoint.h5
16,diff_init,0,fixed,10002,0,4.12276,5.69754,1.56257,0,0.370457,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_0/checkpoint.h5
16,diff_init,0,narrow,10000,0,3.91109,5.3331,1.52584,0,0.365719,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_0/checkpoint.h5
16,diff_init,0,narrow,10001,0,3.95582,5.41627,1.63699,0,0.36434,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_0/checkpoint.h5
16,diff_init,0,narrow,10002,0,3.939,5.37865,1.71461,0,0.367638,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_0/checkpoint.h5
16,diff_init,0,medium,10000,0,3.62115,4.84637,1.52522,0,0.353651,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_0/checkpoint.h5
16,diff_init,0,medium,10001,0,3.71872,5.00815,1.6657,0,0.354648,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_0/checkpoint.h5
16,diff_init,0,medium,10002,0,3.56868,4.87497,1.60898,0,0.348446,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_0/checkpoint.h5
16,scratch,1,fixed,10000,0,7.68665,12.5085,6.2291,0,0.0966979,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_1/checkpoint.h5
16,scratch,1,fixed,10001,0,7.40797,12.2612,6.20577,0,0.0942486,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_1/checkpoint.h5
16,scratch,1,fixed,10002,0,7.42013,12.1419,6.142,0,0.0977786,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_1/checkpoint.h5
