seed,group,phase,rows,first_step,last_step,first_loss,median_loss,final_loss,loss_slope,median_final_p,median_final_v,median_final_w,final_p,final_v,final_w,median_actor_grad_norm_pre_clip,actor_grad_clip_fraction,median_actor_grad_clip_scale,median_action_grad_norm_pre_clip,action_grad_clip_fraction,median_action_grad_clip_scale,action_mean,action_std,action_abs_mean,action_saturation_ratio,action_delta_mean,action_delta_max,loss_position_fraction,loss_velocity_fraction,loss_angular_velocity_fraction,loss_terminal_position_fraction,loss_terminal_velocity_fraction,loss_terminal_angular_velocity_fraction,training_success_rate,eval_euler_success,eval_l2f_success
3,success_control,H128_medium,2000,4000,5999,1876.32,3125.71,1387.58,-0.24449224612306153,3.26937,5.39015,5.071105,2.67803,3.46443,2.98832,189.301,0.997,0.26413,16525.7,1.0,0.000605118,0.5213555000000001,0.116034,0.5214005,0.0,0.01100325,0.166253,0.0076482266329516695,0.0056086336363797016,0.010165035747840853,0.1959164746732619,0.4148818825601328,0.2911216994120023,0.0,0.3066666666666667,0.19666666666666666
3,success_control,H128_full,6000,6000,11999,2825.34,362.84349999999995,815.946,-0.33495482580430075,1.42646,1.1522999999999999,1.75984,1.26936,2.25908,3.40876,214.2935,0.9893333333333333,0.23332550000000002,6888.195,1.0,0.0014517599999999999,0.662566,0.08588609999999999,0.66258,0.0,0.00640462,0.19777450000000002,0.023136986965604123,0.008658513815032446,0.018698930307579825,0.3359314096983322,0.20319595223072148,0.22589263482229185,0.25,0.3066666666666667,0.19666666666666666
6,failed,H16_easy,500,0,499,5999.68,237.226,67.5519,-11.888032264529057,0.16280650000000002,1.065555,2.405865,0.188846,1.03562,0.787192,88.28524999999999,0.906,0.5663465000000001,486.494,1.0,0.02055525,-0.042912599999999995,0.162397,0.139259,0.0,0.013682449999999999,0.06320100000000001,0.0007717110978840446,0.0029309290603381473,0.028344864069574052,0.006052761136754197,0.1942305180164613,0.7092060809770758,1.0,0.06333333333333334,0.03666666666666667
6,failed,H32_easy,500,500,999,285.954,241.87900000000002,193.167,-0.18594589178356716,0.386949,2.0123100000000003,1.1806649999999999,0.394825,1.89481,0.798998,94.0681,0.91,0.5315305,356.57550000000003,1.0,0.028044600000000003,0.0019036550000000002,0.0776921,0.06319975,0.0,0.008888875000000001,0.06822875,0.002301262581657022,0.009714868644151187,0.017549868602681873,0.03232388951597184,0.6990390301323524,0.16075567983382838,0.5,0.06333333333333334,0.03666666666666667
6,failed,H64_easy,500,1000,1499,710.713,520.7465,288.055,-0.8470100200400801,1.15177,3.20442,0.872248,0.97684,2.2991,0.559047,103.7755,0.944,0.48181050000000003,926.9665,1.0,0.0107879,0.15916550000000002,0.07736645,0.16406500000000002,0.0,0.007697905,0.1007295,0.005566183579763764,0.011530517716353914,0.004076815604419919,0.12636776191486015,0.7844017376050592,0.039670481472237215,0.0,0.06333333333333334,0.03666666666666667
6,failed,H128_easy,2500,1500,3999,1149.35,518.2625,449.647,-0.27999319727891153,1.90273,1.806805,1.54457,1.15621,0.577175,3.60782,180.281,0.9932,0.277345,7588.6,1.0,0.001317765,0.510912,0.1249715,0.511348,0.0,0.01747825,0.174201,0.01949668493601054,0.008073145577113628,0.006746498544922612,0.37199059318163763,0.3001200813805419,0.13309141184755915,0.0,0.06333333333333334,0.03666666666666667
6,failed,H128_medium,2000,4000,5999,290.096,1555.47,5014.64,2.3634537268634315,1.354155,1.243085,6.21161,3.92317,7.18407,4.87412,200.3745,0.9985,0.2495325,11254.099999999999,1.0,0.0008885640000000001,0.649456,0.16947050000000002,0.6497765,0.015625,0.01861145,0.202647,0.00509767430590051,0.0026055086512706003,0.018961808333682564,0.10055283567179059,0.06850477345642352,0.7033526263574992,0.0,0.06333333333333334,0.03666666666666667
6,failed,H128_full,6000,6000,11999,6705.11,1782.845,911.557,-0.9657531255209202,2.5521599999999998,3.5806,4.0919799999999995,2.23204,2.1449,2.41173,207.9305,0.9971666666666666,0.2404645,22285.550000000003,1.0,0.000448721,0.899716,0.1331405,0.8998255,0.254883,0.00962931,0.2350045,0.010550779795774602,0.007323016772340601,0.01299976052510378,0.2072880818689185,0.3687147776700456,0.26508363624195985,0.0,0.06333333333333334,0.03666666666666667
7,success_control,H16_easy,500,0,499,3030.59,430.1865,146.432,-5.779875751503007,0.16586099999999998,1.088245,3.41847,0.250791,1.07764,1.436,63.89445,0.712,0.7825409999999999,748.6375,1.0,0.0133576,-0.06411195,0.122071,0.1132035,0.0,0.009351749999999999,0.04147365,0.000422493856605777,0.0016645428298082575,0.022054520141318205,0.0034400982744127026,0.11153110869513062,0.8232729337959057,0.75,0.29333333333333333,0.11666666666666665
7,success_control,H32_easy,500,500,999,232.186,235.301,221.965,-0.020482965931863734,0.3958895,2.0257300000000003,0.941507,0.316413,1.98841,0.648209,84.80144999999999,0.894,0.5896129999999999,279.0425,1.0,0.0358368,0.015164750000000001,0.07565079999999999,0.06445490000000001,0.0,0.007671445,0.05461655,0.0023933476637184583,0.010099563782668578,0.019223964655853427,0.03445995926097015,0.7234433316902766,0.10882945562454248,0.5,0.29333333333333333,0.11666666666666665
