step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
108,32,0.0563596,0.00654349,0.498161,0.1,0.0498161,0.000484073,5.80211e-11,0.000484073,511.057,0.109122,1,0,0.19752,0.361608,0.0561406,true
109,32,0.0563463,0.00653124,0.49815,0.1,0.049815,0.000490577,2.82063e-11,0.000490577,511.052,0.109035,1,0,0.197508,0.361199,0.0559923,true
110,32,0.0563329,0.00651893,0.49814,0.1,0.049814,0.000497225,8.99428e-11,0.000497225,511.047,0.108941,1,0,0.197496,0.360788,0.0558455,true
111,32,0.0563195,0.00650655,0.49813,0.1,0.049813,0.000504006,5.96548e-12,0.000504006,511.041,0.10884,1,0,0.197484,0.360374,0.0556994,true
112,32,0.056306,0.00649412,0.498119,0.1,0.0498119,0.000510949,8.30347e-12,0.000510949,511.036,0.108732,1,0,0.197471,0.359957,0.055554,true
113,32,0.0562925,0.00648162,0.498109,0.1,0.0498109,0.000518069,1.20289e-11,0.000518069,511.031,0.108618,1,0,0.19746,0.359537,0.0554089,true
114,32,0.0562788,0.00646905,0.498098,0.1,0.0498098,0.000525342,-7.97329e-12,0.000525342,511.025,0.108498,1,0,0.197447,0.359116,0.0552645,true
115,32,0.0562651,0.00645642,0.498087,0.1,0.0498087,0.000532774,-8.86097e-12,0.000532774,511.02,0.108373,1,0,0.197435,0.358691,0.0551205,true
116,32,0.0562514,0.00644372,0.498077,0.1,0.0498077,0.00054037,-5.58987e-11,0.00054037,511.014,0.108242,1,0,0.197423,0.358264,0.0549768,true
117,32,0.0562375,0.00643096,0.498066,0.1,0.0498066,0.000548111,-1.6779e-11,0.000548111,511.009,0.108106,1,0,0.19741,0.357833,0.0548335,true
118,32,0.0562236,0.00641812,0.498055,0.1,0.0498055,0.000555945,4.74528e-11,0.000555945,511.003,0.107967,1,0,0.197398,0.357401,0.0546907,true
119,32,0.0562096,0.00640521,0.498044,0.1,0.0498044,0.000563867,-2.4873e-11,0.000563867,510.998,0.107823,1,0,0.197386,0.356965,0.0545487,true
120,32,0.0561955,0.00639223,0.498033,0.1,0.0498033,0.000571859,7.82503e-11,0.000571859,510.992,0.107676,1,0,0.197373,0.356526,0.0544073,true
121,32,0.0561814,0.00637918,0.498022,0.1,0.0498022,0.000579963,8.68094e-12,0.000579963,510.986,0.107526,1,0,0.197359,0.356083,0.0542669,true
122,32,0.0561672,0.00636605,0.498011,0.1,0.0498011,0.000588197,5.0877e-11,0.000588197,510.981,0.107374,1,0,0.197347,0.355638,0.0541274,true
123,32,0.0561529,0.00635285,0.498,0.1,0.0498,0.000596595,4.57273e-11,0.000596595,510.975,0.107219,1,0,0.197334,0.35519,0.0539888,true
124,32,0.0561385,0.00633957,0.497989,0.1,0.0497989,0.000605134,-8.76388e-12,0.000605134,510.969,0.107064,1,0,0.197321,0.354739,0.0538516,true
125,32,0.056124,0.00632621,0.497978,0.1,0.0497978,0.00061384,-6.97659e-12,0.00061384,510.964,0.106906,1,0,0.197308,0.354282,0.0537156,true
126,32,0.0561094,0.00631277,0.497967,0.1,0.0497967,0.000622686,1.28194e-11,0.000622686,510.958,0.106749,1,0,0.197295,0.353826,0.0535808,true
127,32,0.0560948,0.00629925,0.497956,0.1,0.0497956,0.000631658,-2.25858e-11,0.000631658,510.952,0.106591,1,0,0.197282,0.353363,0.0534475,true
128,32,0.0560801,0.00628565,0.497944,0.1,0.0497944,0.000640733,2.63412e-11,0.000640733,510.946,0.106432,1,0,0.197269,0.352897,0.0533153,true
129,32,0.0560652,0.00627196,0.497933,0.1,0.0497933,0.000649932,-3.72835e-11,0.000649932,510.941,0.106273,1,0,0.197255,0.352429,0.0531846,true
130,32,0.0560503,0.00625818,0.497921,0.1,0.0497921,0.000659287,-5.63453e-11,0.000659287,510.935,0.106114,1,0,0.197242,0.351956,0.0530553,true
131,32,0.0560353,0.00624432,0.49791,0.1,0.049791,0.000668816,2.96928e-11,0.000668816,510.929,0.105955,1,0,0.197229,0.35148,0.0529272,true
132,32,0.0560202,0.00623036,0.497898,0.1,0.0497898,0.000678561,1.93065e-12,0.000678561,510.923,0.105797,1,0,0.197215,0.350999,0.0528003,true
133,32,0.056005,0.00621632,0.497887,0.1,0.0497887,0.000688598,1.1389e-11,0.000688598,510.917,0.10564,1,0,0.197201,0.350515,0.0526747,true
134,32,0.0559897,0.00620217,0.497875,0.1,0.0497875,0.00069893,-1.68156e-11,0.00069893,510.911,0.105483,1,0,0.197187,0.350027,0.0525498,true
135,32,0.0559743,0.00618794,0.497863,0.1,0.0497863,0.000709542,3.53265e-11,0.000709542,510.905,0.105326,1,0,0.197173,0.349534,0.0524261,true
136,32,0.0559588,0.0061736,0.497852,0.1,0.0497852,0.000720483,-1.67983e-11,0.000720483,510.899,0.10517,1,0,0.197159,0.349037,0.0523031,true
137,32,0.0559431,0.00615916,0.49784,0.1,0.049784,0.00073177,-2.1905e-11,0.00073177,510.893,0.105014,1,0,0.197145,0.348536,0.0521809,true
138,32,0.0559274,0.00614461,0.497828,0.1,0.0497828,0.00074348,-7.428e-11,0.00074348,510.887,0.104859,1,0,0.197131,0.348031,0.0520591,true
139,32,0.0559115,0.00612996,0.497816,0.1,0.0497816,0.000755634,2.1343e-11,0.000755634,510.88,0.104703,1,0,0.197117,0.347522,0.0519381,true
140,32,0.0558955,0.00611519,0.497803,0.1,0.0497803,0.000768269,-1.55927e-10,0.000768269,510.874,0.104549,1,0,0.197103,0.347006,0.0518175,true
141,32,0.0558794,0.00610032,0.497791,0.1,0.0497791,0.000781352,-3.33964e-11,0.000781352,510.868,0.104395,1,0,0.197088,0.346487,0.0516969,true
142,32,0.0558632,0.00608533,0.497779,0.1,0.0497779,0.000794932,-2.22688e-11,0.000794931,510.861,0.104241,1,0,0.197073,0.345963,0.0515766,true
143,32,0.0558469,0.00607022,0.497766,0.1,0.0497766,0.000809014,-1.09112e-10,0.000809014,510.855,0.104086,1,0,0.197059,0.345434,0.0514562,true
