step,total_loss_mean,training_success_rate,action_saturation_ratio,hidden_dynamics_separation_ratio,rdac_actor_head_grad_norm_before_clip,rdac_actor_head_grad_norm_after_clip,mean_final_position_norm,mean_final_angular_velocity_norm
109000,0.608553,0.5,0,0.537773,69.4753,44.6926,1.12789,0.431961
110000,0.220446,0.25,0,0.255577,13.7617,13.7617,1.5597,1.21613
111000,0.854768,0,0,0.19405,188.897,47.8037,1.31105,0.780806
112000,0.0776497,0.5,0,0.609173,19.4373,19.4373,0.835334,0.326812
113000,0.281064,0.75,0,0.590078,25.7084,25.7084,0.824531,0.592682
114000,0.101618,0.5,0,0.5933,11.8026,11.8026,1.0749,0.714533
115000,0.523068,0.5,0,0.168414,64.0913,45.2285,0.879967,3.23644
116000,0.331421,0.25,0,0.858937,9.15762,9.15762,1.94771,1.1986
117000,0.440328,0.5,0,0.52557,24.6038,24.6038,0.915218,0.410899
118000,0.177198,0,0,0.181255,24.4184,24.4184,1.31575,2.05876
119000,0.800393,0.25,0,0.436824,56.9934,44.0269,1.31359,0.28346
120000,0.169946,0.5,0,0.439006,37.3221,37.3221,1.26778,0.928527
121000,0.838807,0.25,0.0551758,0.114766,144.456,45.8593,2.02703,2.82323
122000,0.121333,0.5,0,0.204146,9.78165,9.78165,1.15332,0.571211
123000,1.16939,0.5,0.0996094,0.243969,771.323,47.3129,1.95093,4.05016
124000,0.213276,0,0,0.693056,9.83264,9.83264,1.51626,1.36588
125000,0.464401,0.75,0,0.642489,34.5266,34.5266,0.79093,0.168071
126000,0.311931,0.5,0,0.334405,28.1995,28.1995,1.21702,2.39385
127000,0.729503,1,0,0.288608,62.48,43.6672,0.611161,0.746407
128000,0.224637,0.5,0,0.848772,6.61464,6.61464,1.33824,0.788752
129000,0.6851,0.25,0.0131836,0.249802,139.703,45.6677,1.34783,1.21441
130000,0.143857,0.25,0,0.132768,17.6581,17.6581,1.25382,0.868431
131000,1.96647,0,0.198242,0.133036,440.547,46.174,3.40989,6.52715
132000,0.23158,0.25,0,0.261193,22.8528,22.8528,1.60801,1.17968
133000,0.437875,0.5,0,0.817788,62.5467,44.0865,0.750994,0.265195
134000,0.291749,0.25,0,0.287095,25.7419,25.7419,1.76415,1.96417
135000,0.662245,0.75,0,0.175531,66.22,45.3543,1.38232,0.794502
136000,0.112554,0.75,0,0.387732,8.34806,8.34806,0.890763,0.520056
137000,0.750373,0.75,0,0.197928,73.9712,43.6441,0.736883,2.76436
138000,0.272222,0,0,0.497226,52.3809,45.2905,1.70058,1.88676
139000,0.241599,0.25,0.00292969,0.184652,153.676,46.2653,1.45443,2.32853
140000,0.202683,0.5,0,0.226139,47.2344,46.8003,1.24315,1.73551
141000,0.845898,0,0,0.643867,81.0143,45.023,1.4124,0.514065
142000,0.277874,0,0,0.354988,39.2582,39.2582,1.41788,2.42799
143000,0.42669,0.75,0,0.393994,30.4704,30.4704,0.727761,0.390657
144000,0.102496,0.5,0,0.183541,9.29191,9.29191,0.847003,0.709804
145000,0.902834,0.25,0.11084,0.207198,269.787,47.9788,2.53917,1.66579
146000,0.222396,0.5,0,0.547775,16.403,16.403,1.51465,1.19143
147000,1.10167,0.5,0.100098,0.180338,248.537,46.377,1.93202,3.944
148000,0.158329,0.75,0,0.478306,14.2059,14.2059,0.690826,1.61843
149000,0.461935,0.5,0,0.563198,70.3112,44.9196,1.0039,0.315052
150000,0.451449,0.25,0.0595703,0.238529,58.4207,46.4812,2.02357,2.1397
151000,0.459519,0.25,0,0.330709,94.1033,46.648,1.33308,0.528274
152000,0.0885307,0.75,0,0.217221,11.0508,11.0508,0.865231,0.523742
153000,0.59183,0.5,0.0336914,0.141427,146.67,47.7639,1.1433,1.11285
154000,0.21586,0.25,0.000976562,0.40358,41.1078,41.1078,1.2855,1.35519
155000,2.74689,0.25,0.166016,0.354451,1116.18,47.0507,2.97441,2.11928
156000,0.145895,0.5,0,0.277009,9.30111,9.30111,1.22734,1.25205
157000,0.737045,0.75,0,0.6819,25.1646,25.1646,0.88916,0.210223
158000,0.332923,0.5,0,0.229451,14.6845,14.6845,1.36606,1.90148
159000,0.582831,0.5,0,0.341501,64.7273,46.1517,0.813946,0.496441
160000,0.1971,0.25,0,0.22858,17.6133,17.6133,1.25339,0.825347
161000,0.606476,0.25,0.00488281,0.21702,150.951,42.6779,1.5871,0.948801
162000,0.0913855,0.25,0,0.105822,18.814,18.814,1.22982,0.78488
163000,0.672451,0,0.155273,0.178588,207.781,45.7499,2.34358,3.33193
164000,0.141466,0.5,0,0.113815,16.6424,16.6424,0.985739,1.36218
165000,0.306703,1,0,0.397284,17.7375,17.7375,0.704782,0.174643
166000,0.2888,0.5,0,0.117537,68.5461,44.4532,1.37328,1.70757
167000,0.817551,0.75,0,0.355241,41.9556,41.9556,0.932406,0.27408
168000,0.111323,0.75,0,0.27999,11.2079,11.2079,1.0923,0.478941
169000,0.302556,0.75,0.034668,0.249628,60.1688,46.2204,0.980536,1.008
170000,0.314326,0.5,0,0.584046,47.1093,45.7316,1.28691,1.19418
171000,1.72324,0.25,0.17041,0.185559,776.985,45.0542,2.78134,4.632
172000,0.203358,0.5,0.0776367,0.0463062,46.4681,43.5933,1.26518,1.35168
173000,0.414003,0.75,0,0.237874,20.9019,20.9019,1.01435,0.160122
174000,0.153224,0.5,0,0.220774,11.5874,11.5874,1.09653,1.73846
175000,0.251341,1,0,0.479298,37.4469,37.4469,0.687902,0.345501
176000,0.0674151,0.75,0,0.206952,10.8646,10.8646,0.834612,0.293338
177000,0.989991,0.5,0,0.275697,67.0004,45.0594,1.09954,1.86403
178000,0.238688,0.5,0,0.202204,32.859,32.859,1.31983,1.81071
179000,0.582975,0.5,0,0.0827557,75.8632,45.2014,1.05177,2.45342
180000,0.236962,0.5,0,0.361185,19.0105,19.0105,1.24264,1.65652
181000,0.836057,1,0,0.555925,34.5471,34.5471,0.647987,0.403375
182000,0.328594,0,0.0463867,0.0805454,67.9889,44.0783,1.76213,2.07279
183000,0.263551,0.75,0,0.146017,62.1308,41.6036,0.90424,0.589721
184000,0.106566,0.25,0,0.171334,10.8892,10.8892,1.18836,0.223045
185000,0.71588,0.25,0.0161133,0.135168,80.6545,44.2521,1.81371,2.35696
186000,0.164278,0.75,0.0458984,0.211577,43.3641,43.3641,0.882403,1.0904
187000,0.443366,0.25,0.0332031,0.204944,50.1794,45.0965,1.22586,2.30975
188000,0.15865,0.25,0,0.630276,12.4741,12.4741,1.27209,0.929249
189000,0.453789,0.75,0,0.335569,23.2779,23.2779,0.714923,0.321098
190000,0.494008,0,0,0.727877,46.2055,44.0063,2.17836,1.8708
191000,0.294614,1,0.0102539,0.517755,18.0483,18.0483,0.574033,0.673316
192000,0.159815,0.75,0,0.441629,18.2899,18.2899,0.852003,0.632149
193000,0.616662,0,0.0463867,0.120905,65.969,43.3789,1.13447,0.873119
194000,0.238399,0,0,0.491869,18.1478,18.1478,2.12001,0.695459
195000,0.812487,0.25,0.0883789,0.117313,504.744,47.0883,1.76389,3.05586
196000,0.340653,0,0.0234375,0.279144,39.0833,39.0833,1.66716,1.50165
197000,0.746506,0.5,0,0.483542,67.948,41.5871,1.06295,0.511652
198000,0.129044,0,0,0.254896,8.13337,8.13337,1.26963,1.0923
199000,0.762384,0.5,0,0.254653,39.4345,39.4345,0.743327,0.402468
199999,5.64185,0,0.148438,0.370343,2694.01,49.2269,4.49418,7.64352
