group_key,size_mass_bin,thrust_to_weight_bin,torque_to_inertia_bin,motor_delay_bin,curve_shape_bin,sample_count,loss_mean,success_mean,action_saturation_mean
128,0,2,0,0,0,6250,0.0709076,0.84752,0.01421
129,0,2,0,0,1,6250,0.0519183,0.92832,0.0125025
130,0,2,0,0,2,6250,0.0453951,0.96192,0.011905
131,0,2,0,0,3,6250,0.0418227,0.97792,0.011905
132,0,2,0,1,0,6250,0.076388,0.83248,0.017435
133,0,2,0,1,1,6250,0.0573496,0.9312,0.01521
134,0,2,0,1,2,6250,0.0470573,0.96432,0.0145
135,0,2,0,1,3,6250,0.0461346,0.97504,0.0151075
136,0,2,0,2,0,6250,0.0851471,0.83728,0.0206975
137,0,2,0,2,1,6250,0.0666084,0.93328,0.017975
138,0,2,0,2,2,6250,0.0557371,0.96608,0.01752
139,0,2,0,2,3,6250,0.0540335,0.97744,0.0188025
140,0,2,0,3,0,6250,0.0957472,0.84512,0.02268
141,0,2,0,3,1,6250,0.0770135,0.94128,0.0202975
142,0,2,0,3,2,6250,0.0685066,0.968,0.02163
143,0,2,0,3,3,6250,0.065701,0.97776,0.02313
144,0,2,1,0,0,6250,0.0835676,0.87008,0.0191
145,0,2,1,0,1,6250,0.0626671,0.95136,0.01517
146,0,2,1,0,2,6250,0.0640994,0.97968,0.0135375
147,0,2,1,0,3,6250,0.0651165,0.98608,0.013005
148,0,2,1,1,0,6250,0.0799143,0.86208,0.026285
149,0,2,1,1,1,6250,0.0569872,0.9528,0.0218725
150,0,2,1,1,2,6250,0.0648388,0.9736,0.0197075
151,0,2,1,1,3,6250,0.0522638,0.9832,0.0175575
152,0,2,1,2,0,6250,0.0871728,0.85664,0.034055
153,0,2,1,2,1,6250,0.0680573,0.94544,0.02876
154,0,2,1,2,2,6250,0.0609417,0.97136,0.0247825
155,0,2,1,2,3,6250,0.0686272,0.97488,0.024575
156,0,2,1,3,0,6250,0.116039,0.84528,0.0422925
157,0,2,1,3,1,6250,0.0914201,0.93296,0.0355425
158,0,2,1,3,2,6250,0.0796529,0.96752,0.0324525
159,0,2,1,3,3,6250,0.0739973,0.972,0.031665
160,0,2,2,0,0,6250,0.128735,0.88832,0.0255175
161,0,2,2,0,1,6250,0.0916919,0.95712,0.021385
162,0,2,2,0,2,6250,0.121871,0.97632,0.0184875
163,0,2,2,0,3,6250,0.11923,0.9856,0.016905
164,0,2,2,1,0,6250,0.123674,0.876,0.036415
165,0,2,2,1,1,6250,0.103812,0.952,0.0327925
166,0,2,2,1,2,6250,0.106452,0.97232,0.02745
167,0,2,2,1,3,6250,0.103586,0.9816,0.025745
168,0,2,2,2,0,6250,0.115402,0.8632,0.0474175
169,0,2,2,2,1,6250,0.10448,0.93888,0.041075
170,0,2,2,2,2,6250,0.102177,0.97248,0.0372
171,0,2,2,2,3,6250,0.0893361,0.97744,0.0360025
172,0,2,2,3,0,6250,0.13739,0.83088,0.05881
173,0,2,2,3,1,6250,0.115245,0.92928,0.051185
174,0,2,2,3,2,6250,0.113697,0.9608,0.046455
175,0,2,2,3,3,6250,0.121772,0.96896,0.0463275
176,0,2,3,0,0,6250,0.235299,0.89168,0.0322275
177,0,2,3,0,1,6250,0.251277,0.9584,0.02596
178,0,2,3,0,2,6250,0.240957,0.9744,0.024085
