step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
22,16,500,239.583,0.0103147,0.0055844,0.0473027,0.1,0.00473027,0.0239499,1.07642e-10,0.0239499,55.6779,0.00781686,0.912109,0.00592804,0.461271,1.157,0.720134,0.345667,1.90151,3.48919,5.38361,0.336131,0.0427677,0.0106702,0.00252757,0.0018232,0.00057105,0,0,0,0,0,0.170252,0.312405,0.482022,0.0300956,0.00382921,0.000955358,0.000226306,0.00016324,5.11291e-05,0,true
23,16,500,239.583,0.0103079,0.00558432,0.0472362,0.1,0.00472362,0.0239092,-4.66918e-11,0.0239092,55.6388,0.00780907,0.912109,0.00593567,0.461272,1.15697,0.720136,0.345534,1.90151,3.48906,5.38361,0.33609,0.0427699,0.0106751,0.00252824,0.00182429,0.00057193,0,0,0,0,0,0.170254,0.312398,0.482029,0.0300923,0.00382947,0.000955808,0.00022637,0.000163341,5.12086e-05,0,true
24,16,500,239.583,0.0103012,0.00558424,0.0471699,0.1,0.00471699,0.0238785,5.64377e-11,0.0238785,55.5997,0.00780106,0.912109,0.0059433,0.461272,1.15695,0.720135,0.345401,1.90151,3.48894,5.3836,0.336048,0.042772,0.0106799,0.00252894,0.00182539,0.000572829,0,0,0,0,0,0.170257,0.312391,0.482036,0.030089,0.00382971,0.000956256,0.000226435,0.000163441,5.12898e-05,0,true
25,16,500,239.583,0.0102945,0.00558415,0.0471037,0.1,0.00471037,0.0238641,3.61388e-11,0.0238641,55.5607,0.00779331,0.912109,0.00596619,0.461273,1.15693,0.720136,0.345268,1.90151,3.48881,5.3836,0.336007,0.0427742,0.0106848,0.00252965,0.0018265,0.000573761,0,0,0,0,0,0.170259,0.312384,0.482042,0.0300858,0.00382996,0.000956703,0.000226503,0.000163543,5.13741e-05,0,true
26,16,500,239.583,0.0102878,0.00558407,0.0470376,0.1,0.00470376,0.0238556,-2.03151e-11,0.0238556,55.5217,0.00778568,0.912109,0.00598145,0.461274,1.1569,0.720137,0.345136,1.90151,3.48867,5.3836,0.335966,0.0427763,0.0106895,0.00253038,0.0018276,0.000574712,0,0,0,0,0,0.170262,0.312377,0.482049,0.0300825,0.00383021,0.000957146,0.000226572,0.000163644,5.146e-05,0,true
27,16,500,239.583,0.0102812,0.00558399,0.0469718,0.1,0.00469718,0.0238382,-8.09022e-11,0.0238382,55.4828,0.00777797,0.912109,0.0059967,0.461275,1.15688,0.720137,0.345003,1.90151,3.48854,5.3836,0.335924,0.0427785,0.0106944,0.00253111,0.00182871,0.000575651,0,0,0,0,0,0.170264,0.31237,0.482057,0.0300792,0.00383046,0.000957593,0.00022664,0.000163746,5.15448e-05,0,true
28,16,500,239.583,0.0102745,0.00558391,0.0469061,0.1,0.00469061,0.0238056,-7.03304e-12,0.0238056,55.444,0.00777004,0.912109,0.00600433,0.461275,1.15686,0.720138,0.344869,1.9015,3.48841,5.3836,0.335882,0.0427808,0.0106992,0.00253182,0.00182981,0.000576571,0,0,0,0,0,0.170267,0.312363,0.482064,0.0300759,0.00383072,0.000958038,0.000226707,0.000163847,5.16279e-05,0,true
29,16,500,239.583,0.0102679,0.00558382,0.0468405,0.1,0.00468405,0.0237667,-5.41898e-11,0.0237667,55.4052,0.00776217,0.912109,0.00601196,0.461276,1.15684,0.720138,0.344735,1.9015,3.48828,5.38359,0.33584,0.0427832,0.010704,0.00253252,0.00183091,0.000577488,0,0,0,0,0,0.170269,0.312356,0.482071,0.0300725,0.00383099,0.000958484,0.000226773,0.000163948,5.17108e-05,0,true
30,16,500,239.583,0.0102613,0.00558374,0.0467751,0.1,0.00467751,0.0237344,8.1364e-11,0.0237344,55.3666,0.00775424,0.912109,0.00601959,0.461277,1.15681,0.720139,0.344599,1.9015,3.48815,5.38359,0.335798,0.0427855,0.0107088,0.00253324,0.00183202,0.000578423,0,0,0,0,0,0.170271,0.312349,0.482078,0.0300692,0.00383125,0.000958929,0.000226841,0.00016405,5.17953e-05,0,true
31,16,500,239.583,0.0102546,0.00558366,0.0467099,0.1,0.00467099,0.0237136,6.15857e-11,0.0237136,55.3279,0.00774634,0.912109,0.00601959,0.461278,1.15679,0.720139,0.344463,1.9015,3.48802,5.38359,0.335756,0.0427877,0.0107136,0.00253398,0.00183313,0.000579392,0,0,0,0,0,0.170274,0.312342,0.482085,0.0300659,0.00383151,0.000959373,0.000226911,0.000164152,5.18828e-05,0,true
