step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
22,16,500,239.457,0.00669892,0.00553274,0.0116619,0.1,0.00116619,-0.0238943,1.38385e-10,-0.0238943,19.5483,0.0664232,0.901367,0.0681915,0.456052,1.13818,0.710163,0.371405,1.86264,3.50157,5.28773,0.297175,0.0485538,0.0500319,0.00517527,0.00642611,0.00617856,0,0,0,0,0,0.168329,0.316441,0.477858,0.026856,0.00438787,0.00452144,0.000467695,0.000580735,0.000558364,0,true
23,16,500,236.873,0.00653398,0.00536872,0.0116525,0.1,0.00116525,-0.0205628,-1.9519e-10,-0.0205628,19.5405,0.0903674,0.90918,0.0583191,0.44663,1.12641,0.690657,0.373439,1.81192,3.4235,5.08108,0.304421,0.0466187,0.053405,0.00473954,0.00645765,0.00530458,0,0,0,0,0,0.168748,0.318837,0.473211,0.0283513,0.00434169,0.00497372,0.000441402,0.000601414,0.000494026,0,true
24,16,500,238.097,0.00658973,0.0054261,0.0116363,0.1,0.00116363,-0.0264661,1.82338e-10,-0.0264661,19.5269,0.128794,0.898438,0.0624237,0.453252,1.13233,0.691824,0.360899,1.87674,3.49302,5.07859,0.292933,0.0464451,0.0476703,0.00500343,0.00617729,0.00563578,0,0,0,0,0,0.172936,0.321872,0.467978,0.026993,0.00427978,0.00439268,0.000461051,0.000569219,0.000519321,0,true
25,16,500,240.143,0.00667458,0.00547218,0.012024,0.1,0.0012024,-0.0196251,-2.66055e-10,-0.0196251,19.8495,0.0847841,0.901367,0.070282,0.454829,1.14242,0.706233,0.374585,1.84916,3.46779,5.20644,0.302307,0.0505354,0.0498317,0.0052548,0.00666335,0.00636452,0,0,0,0,0,0.16896,0.316857,0.47572,0.0276222,0.00461748,0.00455318,0.000480138,0.000608839,0.000581534,0,true
26,16,500,246.725,0.0066082,0.0053768,0.012314,0.1,0.0012314,0.0345051,1.89845e-10,0.0345051,20.0874,0.0862141,0.918945,0.0716705,0.459294,1.10658,0.693681,0.38717,1.89533,3.36715,5.06243,0.314171,0.0467723,0.049514,0.0052021,0.00652524,0.00650634,0,0,0,0,0,0.176251,0.313119,0.470766,0.0292155,0.00434946,0.00460441,0.000483754,0.000606796,0.000605038,0,true
27,16,500,241.236,0.00666398,0.0055278,0.0113618,0.1,0.00113618,0.00625305,6.11111e-12,0.00625305,19.2952,0.047405,0.897461,0.0692444,0.453727,1.15268,0.703766,0.388877,1.84516,3.58188,5.19936,0.310419,0.0467048,0.0542731,0.00504886,0.00648439,0.00626806,0,0,0,0,0,0.166898,0.323988,0.470292,0.028078,0.00422454,0.0049091,0.000456679,0.000586526,0.000566958,0,true
28,16,500,242.446,0.00667586,0.00544012,0.0123574,0.1,0.00123574,0.0271248,-1.09297e-10,0.0271248,20.1228,0.102928,0.902344,0.0716858,0.455153,1.12717,0.699531,0.381464,1.85803,3.45193,5.1367,0.317357,0.0471551,0.0508432,0.00518819,0.00651739,0.00651747,0,0,0,0,0,0.170771,0.317266,0.472113,0.0291682,0.00433402,0.00467299,0.000476846,0.000599012,0.000599019,0,true
29,16,500,244.022,0.00665676,0.00534312,0.0131364,0.1,0.00131364,0.0415848,-3.00895e-11,0.0415848,20.7474,0.119072,0.905273,0.0612946,0.457048,1.13591,0.676864,0.361027,1.88169,3.48907,4.9037,0.295028,0.0467671,0.0528022,0.00506884,0.00652358,0.00559618,0,0,0,0,0,0.176085,0.326501,0.45888,0.0276082,0.00437638,0.00494114,0.000474333,0.000610465,0.00052368,0,true
30,16,500,248.528,0.00639868,0.00541341,0.00985269,0.1,0.000985269,-0.014262,2.07542e-10,-0.014262,17.9681,0.0414271,0.899414,0.0574036,0.453092,1.139,0.686689,0.377237,1.86149,3.45704,5.0897,0.304034,0.0467367,0.0512689,0.00483708,0.00647569,0.00524958,0,0,0,0,0,0.171933,0.319303,0.470101,0.0280815,0.00431675,0.00473536,0.000446767,0.000598115,0.000484868,0,true
31,16,500,242.218,0.00672387,0.00547433,0.0124955,0.1,0.00124955,-0.0515668,-3.33656e-10,-0.0515668,20.2349,0.157367,0.904297,0.0580902,0.460265,1.12678,0.707685,0.383041,1.87154,3.42926,5.22359,0.306259,0.0467637,0.0545656,0.00480698,0.00656996,0.00529269,0,0,0,0,0,0.170938,0.313213,0.477099,0.0279723,0.00427119,0.00498378,0.000439048,0.00060007,0.00048341,0,true
