step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
22,16,500,243.05,0.00653556,0.00549288,0.0104268,0.1,0.00104268,0.0149059,-1.34448e-10,0.0149059,18.4842,0.089593,0.907227,0.0449524,0.458685,1.105,0.717292,0.23563,1.9029,3.39864,5.36849,0.237348,0.0475711,0.017397,0.00436137,0.0049485,0.00410073,0,0,0,0,0,0.173215,0.309368,0.488677,0.0216051,0.00433025,0.0015836,0.000397002,0.000450447,0.000373277,0,true
23,16,500,244.714,0.00630576,0.00529066,0.0101509,0.1,0.00101509,0.0337801,2.8522e-10,0.0337801,18.238,0.108563,0.897461,0.0419312,0.455788,1.08703,0.685422,0.227574,1.87229,3.33872,5.0691,0.225795,0.0455525,0.0170814,0.00417897,0.00480799,0.00380633,0,0,0,0,0,0.176943,0.315529,0.479061,0.021339,0.00430499,0.00161429,0.000394938,0.000454385,0.000359721,0,true
24,16,500,238.673,0.00629881,0.00536596,0.00932853,0.1,0.000932853,-0.00555285,-1.12795e-10,-0.00555285,17.4836,0.0257178,0.913086,0.0420227,0.454961,1.09599,0.700095,0.230008,1.87338,3.38083,5.17166,0.229233,0.0469505,0.0169929,0.00418865,0.00484651,0.00382931,0,0,0,0,0,0.174562,0.315026,0.481896,0.0213599,0.00437485,0.0015834,0.000390299,0.000451598,0.000356816,0,true
25,16,500,242.799,0.00630117,0.00523709,0.0106407,0.1,0.00106407,-0.0101569,5.37259e-11,-0.0101569,18.6728,0.0729112,0.913086,0.0414581,0.441375,1.08663,0.690569,0.227728,1.77975,3.29481,5.09003,0.233659,0.0456017,0.0173926,0.00423602,0.00488923,0.00381061,0,0,0,0,0,0.169918,0.314565,0.48596,0.0223081,0.00435372,0.00166052,0.000404425,0.000466788,0.000363809,0,true
26,16,500,245.491,0.00651276,0.00528613,0.0122663,0.1,0.00122663,-0.0201842,-1.89044e-10,-0.0201842,20.0485,0.115168,0.902344,0.0400696,0.451784,1.10516,0.676026,0.22811,1.86815,3.44971,4.95653,0.222728,0.045547,0.0169898,0.00410098,0.00482221,0.00367975,0,0,0,0,0,0.176703,0.326299,0.468824,0.0210672,0.00430817,0.00160702,0.0003879,0.000456119,0.000348057,0,true
27,16,500,241.201,0.00627319,0.00529244,0.00980754,0.1,0.000980754,-0.0159753,5.02105e-11,-0.0159753,17.9269,0.0733291,0.912109,0.0358582,0.456181,1.0872,0.688494,0.223538,1.88223,3.31383,5.08803,0.225996,0.045356,0.0174589,0.00395604,0.0047717,0.00324743,0,0,0,0,0,0.177823,0.313072,0.480689,0.0213508,0.00428498,0.00164942,0.000373745,0.000450804,0.000306799,0,true
28,16,500,241.876,0.00663059,0.00551173,0.0111886,0.1,0.00111886,-0.0421445,1.34115e-11,-0.0421445,19.1475,0.09904,0.908203,0.0453491,0.462079,1.13797,0.713036,0.231899,1.8967,3.53135,5.27679,0.239281,0.0476313,0.0182423,0.00433084,0.00503156,0.00411753,0,0,0,0,0,0.17206,0.320348,0.478687,0.0217066,0.0043209,0.00165486,0.000392874,0.000456441,0.000373524,0,true
29,16,500,245.164,0.00641565,0.00535974,0.010559,0.1,0.0010559,0.0226978,-3.28414e-10,0.0226978,18.601,0.0961498,0.901367,0.0388031,0.455862,1.1032,0.701592,0.22223,1.87329,3.3963,5.15119,0.222892,0.0464737,0.0168564,0.00418996,0.00476496,0.0035292,0,0,0,0,0,0.174756,0.316834,0.480545,0.0207931,0.00433544,0.0015725,0.000390873,0.000444514,0.000329232,0,true
30,16,500,247.721,0.0064956,0.00532354,0.0117206,0.1,0.00117206,0.0436256,8.0371e-11,0.0436256,19.5975,0.158818,0.914062,0.0427246,0.455099,1.08379,0.698567,0.230762,1.85051,3.27708,5.21174,0.231103,0.0460432,0.0175541,0.00422569,0.00492533,0.00389271,0,0,0,0,0,0.173805,0.307792,0.4895,0.0217058,0.00432449,0.00164873,0.000396887,0.000462599,0.000365613,0,true
31,16,500,240.642,0.00687792,0.00568463,0.0119328,0.1,0.00119328,-0.0372281,-4.10545e-11,-0.0372281,19.7741,0.0348683,0.895508,0.0460205,0.461203,1.14995,0.743745,0.229904,1.89533,3.56896,5.59219,0.233862,0.047947,0.0173525,0.00443472,0.00498136,0.00420112,0,0,0,0,0,0.166706,0.313914,0.491869,0.0205697,0.00421724,0.00152627,0.000390062,0.000438143,0.000369516,0,true
