step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
21,16,0.0331831,0.00010455,0.330786,0.1,0.0330786,0.00286667,2.61749e-12,0.00286667,294.472,0.00279621,0.886719,0,0.0275899,0.0572361,0.0393905,0.0279713,0.00641973,0.0117551,0.0175821,0.000495322,0.00014245,5.63998e-06,0.0001565,1.45017e-05,0,0.17253,0.00799357,0.135063,0.0263791,0.0030941,0.0307016,0.0562173,0.084084,0.00236882,0.00068125,2.69725e-05,0.000748444,6.93527e-05,0,0.825105,true
22,16,0.0331817,0.000104548,0.330771,0.1,0.0330771,0.00286568,-1.92691e-11,0.00286568,294.465,0.00281695,0.886841,0,0.0275898,0.0572354,0.0393898,0.0279718,0.00641973,0.0117547,0.0175818,0.000495418,0.000142434,5.64287e-06,0.00015649,1.44628e-05,0,0.172525,0.00799353,0.135059,0.0263784,0.00309423,0.0307024,0.056217,0.0840851,0.00236934,0.00068119,2.6987e-05,0.000748412,6.91683e-05,0,0.825102,true
23,16,0.0331802,0.000104545,0.330756,0.1,0.0330756,0.00285933,-1.54135e-11,0.00285933,294.459,0.00282518,0.886841,0,0.0275898,0.0572345,0.0393893,0.0279722,0.00641973,0.0117543,0.0175816,0.000495515,0.000142418,5.64578e-06,0.000156479,1.44241e-05,0,0.17252,0.00799352,0.135055,0.0263777,0.00309437,0.0307032,0.0562165,0.0840863,0.00236986,0.000681132,2.70016e-05,0.000748381,6.89851e-05,0,0.8251,true
24,16,0.0331787,0.000104542,0.330742,0.1,0.0330742,0.00285461,1.87931e-11,0.00285461,294.452,0.00285783,0.886841,0,0.0275897,0.0572335,0.0393887,0.0279727,0.00641972,0.011754,0.0175814,0.00049561,0.000142402,5.64871e-06,0.000156469,1.43856e-05,0,0.172515,0.00799349,0.135051,0.026377,0.00309451,0.0307039,0.0562162,0.0840873,0.00237038,0.000681074,2.70163e-05,0.00074835,6.88025e-05,0,0.825096,true
25,16,0.0331772,0.00010454,0.330727,0.1,0.0330727,0.00284086,1.30878e-10,0.00284086,294.445,0.00284365,0.886963,0,0.0275897,0.0572327,0.0393881,0.0279734,0.00641971,0.0117536,0.0175812,0.000495707,0.000142387,5.65165e-06,0.000156458,1.43473e-05,0,0.172511,0.00799345,0.135047,0.0263762,0.00309465,0.0307046,0.0562158,0.0840884,0.0023709,0.00068102,2.70311e-05,0.000748318,6.86212e-05,0,0.825095,true
26,16,0.0331757,0.000104537,0.330712,0.1,0.0330712,0.00283249,-5.45219e-11,0.00283249,294.439,0.00285599,0.886963,0,0.0275896,0.0572317,0.0393876,0.0279739,0.0064197,0.0117532,0.0175809,0.000495809,0.000142372,5.65457e-06,0.000156448,1.43092e-05,0,0.172506,0.00799344,0.135042,0.0263755,0.00309483,0.0307054,0.0562154,0.0840894,0.00237145,0.000680963,2.70458e-05,0.00074829,6.84409e-05,0,0.825093,true
27,16,0.0331743,0.000104535,0.330697,0.1,0.0330697,0.00282166,4.59429e-11,0.00282166,294.432,0.0028425,0.886963,0,0.0275895,0.0572308,0.0393869,0.0279746,0.00641971,0.0117528,0.0175807,0.000495908,0.000142356,5.6575e-06,0.000156438,1.42714e-05,0,0.172501,0.00799342,0.135038,0.0263747,0.003095,0.0307062,0.0562151,0.0840905,0.00237198,0.000680905,2.70604e-05,0.00074826,6.82616e-05,0,0.825093,true
28,16,0.0331728,0.000104532,0.330682,0.1,0.0330682,0.00280167,5.46309e-11,0.00280167,294.426,0.00279936,0.886963,0,0.0275895,0.0572299,0.0393864,0.0279752,0.0064197,0.0117525,0.0175805,0.000496011,0.000142341,5.6604e-06,0.000156428,1.42338e-05,0,0.172497,0.00799338,0.135034,0.0263739,0.0030952,0.0307069,0.0562147,0.0840916,0.00237253,0.000680849,2.7075e-05,0.000748229,6.80834e-05,0,0.825091,true
29,16,0.0331713,0.000104529,0.330668,0.1,0.0330668,0.00279723,-6.92946e-11,0.00279723,294.419,0.00285107,0.886963,0,0.0275895,0.057229,0.0393858,0.0279759,0.00641969,0.0117521,0.0175803,0.000496112,0.000142326,5.6633e-06,0.000156417,1.41963e-05,0,0.172492,0.00799334,0.13503,0.0263732,0.00309539,0.0307076,0.0562143,0.0840927,0.00237308,0.000680793,2.70895e-05,0.000748199,6.79059e-05,0,0.825089,true
30,16,0.0331698,0.000104527,0.330653,0.1,0.0330653,0.00278166,-4.50073e-12,0.00278166,294.412,0.00283718,0.886963,0,0.0275894,0.0572283,0.0393853,0.0279766,0.00641969,0.0117517,0.0175801,0.000496211,0.000142311,5.66618e-06,0.000156408,1.4159e-05,0,0.172487,0.0079933,0.135026,0.0263725,0.00309555,0.0307084,0.0562138,0.0840937,0.00237361,0.00068074,2.7104e-05,0.000748171,6.77293e-05,0,0.825086,true
31,16,0.0331683,0.000104524,0.330638,0.1,0.0330638,0.0027724,-4.43269e-11,0.0027724,294.406,0.00283965,0.886963,0,0.0275893,0.0572272,0.0393848,0.0279772,0.00641968,0.0117514,0.0175798,0.000496311,0.000142296,5.66909e-06,0.000156398,1.4122e-05,0,0.172483,0.00799327,0.135022,0.0263717,0.0030957,0.0307091,0.0562137,0.0840947,0.00237415,0.000680686,2.71186e-05,0.000748142,6.75538e-05,0,0.825085,true
32,16,0.0331668,0.000104521,0.330623,0.1,0.0330623,0.00276861,-9.87118e-11,0.00276861,294.399,0.00282316,0.886963,0,0.0275893,0.0572264,0.0393842,0.0279776,0.00641968,0.011751,0.0175796,0.000496408,0.000142281,5.67203e-06,0.000156388,1.40851e-05,0,0.172478,0.00799325,0.135018,0.026371,0.00309584,0.0307099,0.0562132,0.0840957,0.00237467,0.000680631,2.71334e-05,0.000748116,6.7379e-05,0,0.825084,true
33,16,0.0331653,0.000104519,0.330608,0.1,0.0330608,0.00276311,1.43471e-11,0.00276311,294.392,0.00282588,0.886841,0,0.0275892,0.0572255,0.0393836,0.0279782,0.00641966,0.0117506,0.0175794,0.000496506,0.000142266,5.67496e-06,0.000156379,1.40484e-05,0,0.172473,0.00799322,0.135014,0.0263702,0.00309598,0.0307106,0.056213,0.0840968,0.0023752,0.000680577,2.7148e-05,0.00074809,6.7205e-05,0,0.825081,true
34,16,0.0331638,0.000104516,0.330593,0.1,0.0330593,0.00275897,1.58014e-11,0.00275897,294.386,0.00287373,0.886841,0,0.0275892,0.0572247,0.039383,0.0279787,0.00641965,0.0117503,0.0175792,0.000496604,0.000142251,5.67793e-06,0.00015637,1.40119e-05,0,0.172469,0.00799321,0.13501,0.0263695,0.00309613,0.0307112,0.0562126,0.0840979,0.00237573,0.000680522,2.71629e-05,0.000748064,6.7032e-05,0,0.825081,true
35,16,0.0331623,0.000104514,0.330578,0.1,0.0330578,0.00274768,9.52352e-11,0.00274768,294.379,0.00283212,0.886841,0,0.0275891,0.0572238,0.0393824,0.0279791,0.00641964,0.0117499,0.017579,0.000496703,0.000142237,5.68089e-06,0.00015636,1.39756e-05,0,0.172464,0.00799318,0.135006,0.0263687,0.00309628,0.030712,0.0562122,0.0840989,0.00237626,0.000680471,2.71777e-05,0.000748036,6.686e-05,0,0.82508,true
36,16,0.0331608,0.000104511,0.330563,0.1,0.0330563,0.00276036,-1.5316e-11,0.00276036,294.372,0.00287351,0.886841,0,0.0275891,0.0572229,0.0393818,0.0279796,0.00641963,0.0117495,0.0175788,0.000496803,0.000142222,5.68384e-06,0.000156352,1.39395e-05,0,0.172459,0.00799315,0.135002,0.026368,0.00309643,0.0307127,0.056212,0.0841,0.0023768,0.000680417,2.71925e-05,0.000748016,6.6689e-05,0,0.825078,true
37,16,0.0331593,0.000104508,0.330548,0.1,0.0330548,0.00275057,-1.69084e-11,0.00275057,294.366,0.00282084,0.886841,0,0.0275891,0.0572221,0.0393812,0.0279803,0.00641962,0.0117492,0.0175785,0.000496902,0.000142208,5.68675e-06,0.000156342,1.39036e-05,0,0.172455,0.00799311,0.134998,0.0263672,0.00309659,0.0307134,0.0562115,0.0841009,0.00237733,0.000680367,2.72071e-05,0.000747989,6.65189e-05,0,0.825076,true
