step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
25,16,0.0505558,0.000562201,0.499936,0.1,0.0499936,0.003505,-4.16212e-11,0.003505,362.015,0.0245927,0,0,0.0291506,0.159978,0.0448485,0.227313,0.00660637,0.0481519,0.0185829,0.012668,0.0011076,0.000223459,5.19197e-06,0.000756887,0,1.0363,0.00905278,0.829083,0.0321427,0.166023,0.00587546,0.0428245,0.0165269,0.0112664,0.000985055,0.000198736,4.61754e-06,0.000673147,0,0.921646,true
26,16,0.050545,0.000554524,0.499904,0.1,0.0499904,0.00329787,-5.27926e-11,0.00329787,362.004,0.0236398,0,0,0.0291502,0.159944,0.0445806,0.217738,0.00660631,0.048137,0.018545,0.0116622,0.00110699,0.000204894,5.09049e-06,0.000756248,0,1.02203,0.00905242,0.828727,0.0318561,0.152392,0.00595673,0.0434038,0.0167216,0.0105155,0.000998143,0.000184748,4.58996e-06,0.000681889,0,0.921533,true
27,16,0.0505347,0.000547297,0.499874,0.1,0.0499874,0.00309787,1.50682e-10,0.00309787,361.993,0.0227094,0,0,0.0291496,0.159908,0.0443246,0.20835,0.00660625,0.048121,0.0185094,0.0107173,0.00110636,0.000187479,4.99402e-06,0.000755606,0,1.00859,0.00905207,0.82835,0.031586,0.139599,0.00603534,0.0439624,0.0169098,0.00979107,0.00101075,0.000171277,4.56244e-06,0.000690307,0,0.921424,true
28,16,0.050525,0.000540504,0.499845,0.1,0.0499845,0.00290527,2.48994e-11,0.00290527,361.983,0.0218024,0,0,0.0291491,0.15987,0.0440807,0.199157,0.00660619,0.0481037,0.0184757,0.00983128,0.00110571,0.000171175,4.90233e-06,0.000754961,0,0.995955,0.00905166,0.827954,0.031332,0.127617,0.00611114,0.0444989,0.0170912,0.00909454,0.00102285,0.000158347,4.53496e-06,0.000698386,0,0.92132,true
29,16,0.0505158,0.000534129,0.499817,0.1,0.0499817,0.00272031,1.56331e-11,0.00272031,361.972,0.0209195,0,0,0.0291485,0.159829,0.0438486,0.190164,0.00660612,0.0480851,0.0184441,0.00900234,0.00110503,0.000155943,4.81515e-06,0.000754313,0,0.9841,0.00905121,0.827538,0.0310935,0.116419,0.00618401,0.0450126,0.0172656,0.00842713,0.00103443,0.000145979,4.50748e-06,0.000706116,0,0.921219,true
30,16,0.0505071,0.000528155,0.49979,0.1,0.049979,0.0025432,1.16185e-12,0.0025432,361.963,0.0200613,0,0,0.0291477,0.159787,0.0436284,0.181375,0.00660604,0.0480653,0.0184144,0.00822836,0.00110433,0.000141745,4.73221e-06,0.000753656,0,0.972993,0.0090507,0.827097,0.03087,0.105976,0.00625388,0.045503,0.0174327,0.00778972,0.00104546,0.000134189,4.47994e-06,0.00071348,0,0.921124,true
31,16,0.0504989,0.000522567,0.499764,0.1,0.0499764,0.00237412,-3.55848e-11,0.00237412,361.953,0.0192285,0,0,0.029147,0.159741,0.0434195,0.172795,0.00660595,0.0480438,0.0183866,0.00750729,0.00110359,0.00012854,4.65325e-06,0.000752994,0,0.962601,0.00905019,0.826629,0.0306609,0.0962582,0.00632067,0.045969,0.0175926,0.00718309,0.00105594,0.000122989,4.45231e-06,0.000720477,0,0.921032,true
32,16,0.0504912,0.000517346,0.499738,0.1,0.0499738,0.00221325,1.57094e-10,0.00221325,361.944,0.0184218,0,0,0.029146,0.159693,0.043222,0.164432,0.00660586,0.048021,0.0183605,0.00683704,0.00110283,0.000116286,4.57802e-06,0.000752319,0,0.952892,0.00904959,0.826141,0.0304658,0.0872369,0.00638437,0.0464109,0.0177448,0.0066078,0.00106585,0.000112387,4.42452e-06,0.000727095,0,0.920942,true
33,16,0.0504838,0.000512477,0.499713,0.1,0.0499713,0.00206071,-3.26946e-11,0.00206071,361.935,0.0176419,0,0,0.0291453,0.159643,0.0430357,0.156286,0.00660578,0.0479964,0.0183362,0.0062155,0.00110204,0.000104945,4.50627e-06,0.000751633,0,0.943838,0.00904896,0.825621,0.030284,0.078882,0.00644495,0.0468279,0.0178897,0.00606418,0.00107521,0.00010239,4.39656e-06,0.000733334,0,0.920859,true
34,16,0.0504769,0.000507942,0.499689,0.1,0.0499689,0.0019166,1.97833e-11,0.0019166,361.926,0.0168894,0,0,0.0291443,0.15959,0.0428601,0.148365,0.00660567,0.0479705,0.0183135,0.00564055,0.00110121,9.44729e-05,4.43773e-06,0.000750933,0,0.935402,0.00904832,0.825075,0.030115,0.0711643,0.00650239,0.0472205,0.0180271,0.00555235,0.00108399,9.29958e-05,4.36834e-06,0.000739191,0,0.920776,true
35,16,0.0504704,0.000503725,0.499666,0.1,0.0499666,0.001781,4.77152e-12,0.001781,361.918,0.0161649,0,0,0.0291433,0.159534,0.0426954,0.140673,0.00660555,0.0479427,0.0182924,0.00511001,0.00110034,8.48304e-05,4.37214e-06,0.000750216,0,0.927561,0.00904762,0.824499,0.0299581,0.064053,0.00655671,0.0475882,0.0181571,0.00507223,0.0010922,8.42032e-05,4.33981e-06,0.000744668,0,0.920702,true
36,16,0.0504642,0.000499808,0.499644,0.1,0.0499644,0.00165391,-6.85999e-11,0.00165391,361.91,0.0154693,0,0,0.0291422,0.159474,0.0425406,0.133214,0.00660541,0.0479134,0.0182728,0.00462177,0.00109944,7.59755e-05,4.30928e-06,0.000749482,0,0.920274,0.00904684,0.823895,0.0298128,0.0575188,0.00660795,0.0479318,0.0182798,0.00462355,0.00109986,7.60048e-05,4.31094e-06,0.000749771,0,0.920628,true
37,16,0.0504584,0.000496174,0.499622,0.1,0.0499622,0.00153534,9.22895e-11,0.00153533,361.902,0.0148031,0,0,0.029141,0.159412,0.0423958,0.125993,0.00660528,0.0478822,0.0182546,0.00417367,0.0010985,6.78677e-05,4.24887e-06,0.000748726,0,0.913511,0.00904602,0.823256,0.0296787,0.0515318,0.00665621,0.0482515,0.0183954,0.00420586,0.00110697,6.8391e-05,4.28164e-06,0.0007545,0,0.920556,true
38,16,0.0504529,0.000492807,0.499601,0.1,0.0499601,0.00142526,-7.36159e-11,0.00142526,361.894,0.0141667,0,0,0.0291398,0.159346,0.0422607,0.119014,0.00660511,0.0478491,0.0182378,0.00376356,0.00109751,6.04659e-05,4.1907e-06,0.000747951,0,0.907248,0.00904515,0.822588,0.0295549,0.0460621,0.00670152,0.0485475,0.018504,0.0038185,0.00111352,6.13485e-05,4.25187e-06,0.000758868,0,0.920491,true
